NomeComp;percentage20_Donald_Trump;percentage20_Joe_Biden;cases;deaths;TotalPop;IncomePerCap;Poverty;ChildPoverty;Unemployment;population_density_per_sqmi;percent_no_highschool_diploma;percent_age_65_and_older;percent_rural;percent_smokers;percent_adults_with_obesity;percent_physically_inactive;percent_excessive_drinking;life_expectancy;percent_adults_with_diabetes;percent_food_insecure;violent_crime_rate;homicide_rate
Alabama Autauga;0.715;0.27;2173;31;55036;27824;13.7;20.1;5.2;926055000000000;12.4;14;42002162321;1808155718;33.3;34.7;15026031257;76879477172;11.1;13.2;27228222006;48966169531
Alabama Baldwin;0.762;0.223;6966;71;203360;29364;11.8;16.1;5.5;125493000000000;10;18.7;42279099114;17489032597;31;26.5;17958310103;78450258368;10.7;11.6;20366039629;30083330826
Alabama Barbour;0.536;0.456;1061;9;26201;17561;27.2;44.9;12.4;300765000000000;26.2;16.5;67789634702;21999984528;41.7;23.5;12844015554;7534193493;17.6;22;41427786068;76182598806
Alabama Bibb;0.784;0.207;878;15;22580;20911;15.2;26.6;8.2;362554000000000;19.3;14.9;68352607462;19114199885;37.6;33.5;15570042367;73571820279;14.5;14.3;89349125982;82325896561
Alabama Blount;0.896;0.096;2095;25;57667;22021;15.6;25.4;4.9;894904000000000;20;17.2;89951502041;1920867197;33.8;30.3;14230593827;74145825897;17;10.7;48269061089;64253534562
Alabama Bullock;0.248;0.747;655;17;10478;20856;28.5;50.4;12.1;169427000000000;33.4;15.1;51374381528;22894664011;37.2;24.6;12094101229;73530894789;23.7;24.8;3110273327;NA
Alabama Butler;0.576;0.418;1024;41;20126;19004;24.4;34.8;7.6;261062000000000;18.9;18.1;7123215735;21765334963;43.3;39.5;1185740343;72918309203;19.2;20.6;58158400519;19213663049
Alabama Calhoun;0.689;0.298;4892;65;115527;23638;18.6;26.6;10.1;191261000000000;17.7;15.9;33696825557;20612560375;38.5;31.7;13842230147;73039108585;17.5;15.7;75606654427;97629216594
Alabama Chambers;0.573;0.416;1392;47;33895;22002;18.8;29.1;6.4;570264000000000;19.7;18.4;49148034488;19392927053;40.1;30.1;12745734617;74291076031;19.9;17.9;52899973623;10522062661
Alabama Cherokee;0.86;0.132;787;15;25855;23010;16.1;20;5.3;467692000000000;18.7;20.3;85736273039;17498673785;35;31.3;14106562852;73998833761;15.2;12.5;33043879198;88040762873
